"";"california.income";"california.income4";"california.income8";"california.Tax_Brackets";"california.race";"california.Race";"california.educ";"california.Native";"california.Sex";"income";"income4";"income8";"Tax_Brackets";"race";"Race";"educ";"Native";"Sex"
"6968";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"Minorities";"Black";"Bachelor's degree";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"Minorities";"Black";"Bachelor's degree";"Native born";"Female"
"6969";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"6970";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Black";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Black";"High school graduate";"Native born";"Male"
"6971";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Black";"Graduate School";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Black";"Graduate School";"Native born";"Female"
"6972";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Black";"Bachelor's degree";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Black";"Bachelor's degree";"Native born";"Female"
"6973";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"Bachelor's degree";"Native born";"Female"
"6974";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"Graduate School";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"Graduate School";"Native born";"Female"
"6975";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Native born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Native born";"Male"
"6976";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"6977";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Black";"Bachelor's degree";"Foreign born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Black";"Bachelor's degree";"Foreign born";"Male"
"6978";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
